Scan,Start,End,Z
PZ103_01-02,2020-07-31 8:43:13,2020-07-31 8:46:46,0
PZ103_01-03,2020-07-31 8:48:36,2020-07-31 8:51:51,0
PZ103_01-04,2020-07-31 8:53:38,2020-07-31 8:56:52,0
PZ103_01-05,2020-07-31 8:58:39,2020-07-31 9:01:52,0
PZ103_01-06,2020-07-31 9:03:33,2020-07-31 9:06:44,0
PZ103_01-07,2020-07-31 9:08:26,2020-07-31 9:11:38,0
PZ103_01-08,2020-07-31 9:13:22,2020-07-31 9:16:31,0
PZ103_01-09,2020-07-31 9:18:23,2020-07-31 9:21:33,6.5
PZ103_01-10,2020-07-31 9:23:29,2020-07-31 9:26:50,44
PZ103_01-11,2020-07-31 9:28:39,2020-07-31 9:31:50,79.5
PZ103_01-12,2020-07-31 9:33:39,2020-07-31 9:36:52,107
PZ103_01-13,2020-07-31 9:38:38,2020-07-31 9:42:03,164.5
PZ103_01-14,2020-07-31 9:43:41,2020-07-31 9:46:57,182
PZ103_01-15,2020-07-31 9:48:41,2020-07-31 9:51:56,189
PZ103_01-16,2020-07-31 9:53:44,2020-07-31 9:56:59,185
PZ103_01-17,2020-07-31 9:58:39,2020-07-31 10:01:52,219
PZ103_01-18,2020-07-31 10:03:38,2020-07-31 10:06:54,229
PZ103_01-19,2020-07-31 10:08:37,2020-07-31 10:11:46,229.5
PZ103_01-20,2020-07-31 10:13:34,2020-07-31 10:16:51,255
PZ103_01-21,2020-07-31 10:18:38,2020-07-31 10:21:44,258.5
PZ103_01-22,2020-07-31 10:23:36,2020-07-31 10:26:56,263
PZ103_01-23,2020-07-31 10:28:42,2020-07-31 10:31:51,268
PZ103_01-24,2020-07-31 10:33:38,2020-07-31 10:36:49,289
PZ103_01-25,2020-07-31 10:38:32,2020-07-31 10:41:47,302
PZ103_01-26,2020-07-31 10:43:49,2020-07-31 10:47:04,332
PZ103_01-27,2020-07-31 10:48:52,2020-07-31 10:52:13,340.5
PZ103_01-28,2020-07-31 10:54:17,2020-07-31 10:57:46,352.5
PZ103_01-29,2020-07-31 10:59:16,2020-07-31 11:02:39,373
PZ103_01-30,2020-07-31 11:04:31,2020-07-31 11:07:50,452
PZ103_01-31,2020-07-31 11:09:38,2020-07-31 11:12:50,466.5
PZ103_01-32,2020-07-31 11:14:33,2020-07-31 11:17:44,468
PZ103_01-33,2020-07-31 11:19:32,2020-07-31 11:22:43,509
PZ103_01-34,2020-07-31 11:24:28,2020-07-31 11:27:43,534.5
PZ103_01-35,2020-07-31 11:29:29,2020-07-31 11:32:41,537.5
PZ103_01-36,2020-07-31 11:34:25,2020-07-31 11:37:37,549.5
PZ103_01-37,2020-07-31 11:39:29,2020-07-31 11:42:46,553.5
PZ103_01-38,2020-07-31 11:44:32,2020-07-31 11:47:48,610.5
PZ103_01-39,2020-07-31 11:49:35,2020-07-31 11:52:42,627
PZ103_01-40,2020-07-31 11:54:24,2020-07-31 11:57:27,643
PZ103_01-41,2020-07-31 11:59:12,2020-07-31 12:02:25,665
PZ103_01-42,2020-07-31 12:04:11,2020-07-31 12:07:22,697
PZ103_01-43,2020-07-31 12:09:16,2020-07-31 12:12:31,697
PZ103_01-44,2020-07-31 12:14:18,2020-07-31 12:17:33,697
PZ103_01-45,2020-07-31 12:19:21,2020-07-31 12:22:37,697
PZ103_01-46,2020-07-31 12:24:42,2020-07-31 12:27:59,697
PZ103_01-47,2020-07-31 12:29:33,2020-07-31 12:32:51,697
PZ103_01-48,2020-07-31 12:34:36,2020-07-31 12:38:00,697
PZ103_01-49,2020-07-31 12:39:32,2020-07-31 12:42:43,697
PZ103_01-50,2020-07-31 12:44:25,2020-07-31 12:47:30,697
