ang	fR
79.4328	        4.493E-02
100.0000	4.187E-03
125.8925	1.012E-03
158.4892	9.725E-04
199.5261	1.825E-04
251.1884	1.929E-05
316.2274	2.649E-05
398.1066	3.441E-06
501.1865	5.151E-06
630.9562	3.912E-06
794.3267	3.790E-06
999.9978	2.195E-06
1258.9224	6.883E-07
1584.8890	2.662E-07
1995.2566	1.310E-07
2511.8787	3.497E-08
3162.2672	1.207E-07
3981.0577	3.558E-08
5011.8536	9.928E-08
6309.5485	9.170E-09
7943.2492	4.565E-09
9999.9561	7.443E-09
12589.1961	6.895E-10
15848.8554	4.854E-10
19952.5224	1.543E-10
25118.7319	5.870E-11
31622.6030	1.399E-11
39810.4898	2.353E-12
50118.4262	3.614E-13
63095.3465	7.030E-14
79432.3176	2.484E-14
