Time	Pos
2.	0.005
4.	0.007
6.	0.012
8.	0.018
10.	0.024
12.	0.031
14.	0.038
16.	0.044
18.	0.051
20.	0.058
22.	0.065
24.	0.072
26.	0.079
28.	0.086
30.	0.093
32.	0.1
34.	0.107
36.	0.114
38.	0.121
40.	0.128
42.	0.134
44.	0.141
46.	0.148
48.	0.155
50.	0.161
52.	0.168
54.	0.174
56.	0.18
58.	0.185
60.	0.19
62.	0.194
64.	0.197
66.	0.206
68.	0.22
70.	0.237
72.	0.255
74.	0.276
76.	0.311
78.	0.331
80.	0.338
82.	0.346
84.	0.355
86.	0.365
88.	0.374
90.	0.383
92.	0.391
94.	0.4
96.	0.408
98.	0.416
100.	0.424
102.	0.433
104.	0.441
106.	0.45
108.	0.458
110.	0.466
112.	0.475
114.	0.483
116.	0.491
118.	0.499
120.	0.507
122.	0.515
124.	0.523
126.	0.531
128.	0.539
130.	0.546
132.	0.554
134.	0.561
136.	0.568
138.	0.574
140.	0.58
142.	0.586
144.	0.591
146.	0.595
148.	0.597
150.	0.602
152.	0.616
154.	0.631
156.	0.648
158.	0.668
160.	0.693
162.	0.726
164.	0.733
166.	0.74
168.	0.748
170.	0.756
172.	0.764
174.	0.772
176.	0.779
178.	0.787
180.	0.794
182.	0.801
184.	0.807
186.	0.814
188.	0.821
190.	0.828
192.	0.834
194.	0.841
196.	0.848
198.	0.855
200.	0.861
202.	0.868
204.	0.875
206.	0.881
208.	0.888
210.	0.895
212.	0.902
214.	0.909
216.	0.916
218.	0.922
220.	0.929
222.	0.936
224.	0.943
226.	0.951
228.	0.958
230.	0.966
232.	0.974
234.	0.983
236.	0.994
238.	1.
240.	1.
242.	1.
244.	1.
